発生日:2011/ 8/19 発生場所(32.598833, 130.869667) 震度:1
発生日:2011/ 2/12 発生場所(32.604667, 129.825333) 震度:1
発生日:2011/ 1/12 発生場所(32.619500, 130.814833) 震度:1
発生日:2011/ 6/23 発生場所(32.649000, 131.650333) 震度:1
発生日:2011/ 6/24 発生場所(32.650500, 131.652667) 震度:2
発生日:2011/ 9/21 発生場所(32.655167, 129.974167) 震度:1
発生日:2011/ 7/ 5 発生場所(32.665000, 132.303167) 震度:1
発生日:2011/ 8/22 発生場所(32.668833, 130.886333) 震度:1
発生日:2011/ 8/10 発生場所(32.681333, 129.968667) 震度:2
発生日:2011/ 6/17 発生場所(32.681500, 132.134500) 震度:2
発生日:2011/10/27 発生場所(32.688500, 131.092333) 震度:1
発生日:2011/10/19 発生場所(32.692833, 131.291333) 震度:2
発生日:2011/ 4/28 発生場所(32.694000, 132.140833) 震度:2
発生日:2011/ 8/11 発生場所(32.748167, 129.640833) 震度:1
発生日:2011/ 4/18 発生場所(32.774333, 131.315667) 震度:2
発生日:2011/ 8/23 発生場所(32.791333, 130.970833) 震度:1
発生日:2011/ 8/11 発生場所(32.802333, 131.973833) 震度:1
発生日:2011/ 4/ 8 発生場所(32.842333, 130.774500) 震度:1
発生日:2011/ 4/ 7 発生場所(32.846333, 130.125833) 震度:1
発生日:2011/ 2/17 発生場所(32.859500, 130.736667) 震度:1
発生日:2011/ 3/21 発生場所(32.860833, 130.735833) 震度:3
発生日:2011/ 2/22 発生場所(32.860833, 130.739167) 震度:2
発生日:2011/ 2/19 発生場所(32.862333, 130.741000) 震度:1
発生日:2011/ 3/ 9 発生場所(32.863167, 130.740333) 震度:2
発生日:2011/ 3/ 9 発生場所(32.863500, 130.739167) 震度:2
発生日:2011/ 3/ 9 発生場所(32.864833, 130.740667) 震度:2
発生日:2011/ 4/ 2 発生場所(32.866333, 130.740000) 震度:2
発生日:2011/ 5/22 発生場所(32.867000, 130.740833) 震度:1
発生日:2011/ 6/14 発生場所(32.868833, 130.741333) 震度:1
発生日:2011/ 8/18 発生場所(32.869000, 130.741667) 震度:2
発生日:2011/11/19 発生場所(32.870333, 130.742333) 震度:2
発生日:2011/ 4/16 発生場所(32.880500, 129.767833) 震度:2
発生日:2011/ 4/20 発生場所(32.881167, 129.764000) 震度:1
発生日:2011/ 4/23 発生場所(32.881333, 130.910833) 震度:3
発生日:2011/ 5/29 発生場所(32.890167, 131.696333) 震度:2
発生日:2011/ 3/11 発生場所(32.898833, 130.945167) 震度:1
発生日:2011/12/ 3 発生場所(32.905500, 130.847333) 震度:1
発生日:2011/11/14 発生場所(32.906333, 130.846667) 震度:3
発生日:2011/10/20 発生場所(32.909667, 130.844000) 震度:1
発生日:2011/10/ 6 発生場所(32.911333, 130.846667) 震度:1
発生日:2011/ 9/ 7 発生場所(32.912833, 130.848000) 震度:3
発生日:2011/10/ 5 発生場所(32.914000, 130.850333) 震度:B
発生日:2011/10/ 9 発生場所(32.916000, 130.855167) 震度:3
発生日:2011/10/12 発生場所(32.917167, 130.846500) 震度:2
発生日:2011/ 3/12 発生場所(32.922667, 131.031667) 震度:1
発生日:2011/11/24 発生場所(32.925667, 130.844833) 震度:2
発生日:2011/11/ 4 発生場所(32.926667, 130.841500) 震度:1
発生日:2011/ 3/11 発生場所(32.939667, 131.021333) 震度:1
発生日:2011/ 5/17 発生場所(32.955000, 131.094500) 震度:1
発生日:2011/ 8/13 発生場所(32.963333, 130.986333) 震度:2
発生日:2011/10/ 4 発生場所(32.986667, 130.522667) 震度:1
発生日:2011/ 1/27 発生場所(32.987833, 130.905333) 震度:1
発生日:2011/ 6/29 発生場所(33.017833, 130.743000) 震度:2
発生日:2011/ 3/12 発生場所(33.020167, 136.684000) 震度:1
発生日:2011/ 6/28 発生場所(33.020667, 130.742333) 震度:1
発生日:2011/ 5/22 発生場所(33.023833, 130.722000) 震度:1
発生日:2011/ 4/25 発生場所(33.024500, 130.725000) 震度:1
発生日:2011/ 4/25 発生場所(33.024667, 130.732833) 震度:1
発生日:2011/ 5/ 7 発生場所(33.024833, 130.725000) 震度:1
発生日:2011/ 6/28 発生場所(33.024833, 130.735667) 震度:4
発生日:2011/ 5/23 発生場所(33.025167, 130.722333) 震度:2
発生日:2011/ 5/ 3 発生場所(33.025167, 130.725000) 震度:1
発生日:2011/ 4/25 発生場所(33.025833, 130.726500) 震度:1
発生日:2011/ 4/29 発生場所(33.025833, 130.728333) 震度:1
発生日:2011/ 4/25 発生場所(33.025833, 130.733667) 震度:1
発生日:2011/ 4/25 発生場所(33.027667, 130.729000) 震度:3
発生日:2011/ 4/22 発生場所(33.028500, 130.735500) 震度:3
発生日:2011/ 4/23 発生場所(33.028667, 130.733500) 震度:2
発生日:2011/ 5/28 発生場所(33.030833, 130.743167) 震度:2
発生日:2011/ 5/29 発生場所(33.031000, 130.742833) 震度:2
発生日:2011/12/ 2 発生場所(33.053167, 130.325000) 震度:1
発生日:2011/12/12 発生場所(33.053667, 130.324000) 震度:1
発生日:2011/ 4/26 発生場所(33.057667, 130.839833) 震度:1
発生日:2011/ 4/14 発生場所(33.092500, 129.725833) 震度:1
発生日:2011/ 5/25 発生場所(33.148167, 132.133667) 震度:1
発生日:2011/11/12 発生場所(33.185000, 132.330833) 震度:1
発生日:2011/ 4/18 発生場所(33.273333, 131.397000) 震度:2
発生日:2011/12/ 5 発生場所(33.289333, 132.157667) 震度:3
発生日:2011/12/13 発生場所(33.290833, 131.385000) 震度:1
発生日:2011/12/13 発生場所(33.291333, 131.382333) 震度:1
発生日:2011/12/13 発生場所(33.292333, 131.382000) 震度:1
発生日:2011/ 9/ 4 発生場所(33.295000, 131.392333) 震度:1
発生日:2011/ 9/ 4 発生場所(33.296333, 131.385333) 震度:1
発生日:2011/ 3/23 発生場所(33.374833, 130.867167) 震度:3
発生日:2011/ 7/ 1 発生場所(33.391333, 132.228500) 震度:2
発生日:2011/10/25 発生場所(33.412000, 134.806500) 震度:2
発生日:2011/ 6/29 発生場所(33.414167, 131.912333) 震度:2
発生日:2011/ 2/15 発生場所(33.418833, 130.770000) 震度:1
発生日:2011/ 2/15 発生場所(33.419000, 130.771500) 震度:1
発生日:2011/ 2/15 発生場所(33.419167, 130.770833) 震度:1
発生日:2011/ 2/ 5 発生場所(33.422500, 130.767167) 震度:2
発生日:2011/10/13 発生場所(33.470000, 133.302167) 震度:1
発生日:2011/ 2/19 発生場所(33.491333, 135.470167) 震度:3
発生日:2011/11/ 9 発生場所(33.493500, 132.353167) 震度:1
発生日:2011/ 8/ 8 発生場所(33.511667, 132.196167) 震度:1
発生日:2011/ 5/31 発生場所(33.529667, 133.733667) 震度:1
発生日:2011/ 8/21 発生場所(33.529833, 133.732833) 震度:1
